MainRegion,Region,Location,Latitude,Longitude,Year,ALT_Max,dewpoint_temperature_2m,lake_ice_depth,skin_reservoir_content,skin_temperature,snow_albedo,snow_depth,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,surface_latent_heat_flux_sum,surface_pressure,surface_solar_radiation_downwards_sum,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2004,52.0,263.4278524760385,0.7116965055465698,0.00016078056273547979,264.49830702801444,0.7816852979119214,1.0969502810931333,273.4371047116297,273.3856979079984,273.2773498400806,273.19112149447295,-31562734.5,84618.88320493395,338862842.4892985,266.8086517209495,0.09680667790588841,-0.11776887534629558,-0.2718932780921423
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2005,61.0,263.82234334443535,0.6846471428871155,0.0001636393147931304,265.0261121443421,0.7984624281802831,1.1611655520953341,273.48277811085654,273.39148931375115,273.1196164470827,272.87212094627847,-31893562.333333332,84786.4519567242,340541238.5315755,267.30746708392365,0.11703288480396996,-0.2581642310050979,-0.3296015759054803
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2006,62.0,263.30174794317537,0.6939438581466675,0.00013970468847555073,264.23380861856117,0.772272832126295,1.149376433008379,273.618289635649,273.5205882091208,273.2011456777057,272.81697821224844,-39561125.166666664,84910.93173049742,358845067.03971356,267.1829259773146,0.07796653773555325,0.0510890316080164,-0.12365328241384443
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2007,68.0,263.6457636352448,0.6764904856681824,0.0001569609194459881,264.43468042615945,0.7931586355861087,0.8097982307326003,274.3181526116573,274.2046418692354,273.9050045264298,273.5607101410928,-37497233.166666664,84655.28788337974,326037794.1699206,266.7818349577539,0.09622695946324278,-0.1151292843951119,-0.23232187444255467
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2008,55.0,264.57142042888387,0.6848351955413818,0.00016317249708580853,266.1206515004165,0.7942273605676751,1.2077114224821883,274.7692817589234,274.66516316993835,274.40730157620834,274.12042246892094,-37258021.0,84904.48880809508,347820821.8197225,268.0048723384682,0.11133185026916988,-0.16070764271844548,-0.18664612620412083
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2009,60.5,263.11907323934776,0.6723882555961609,0.0001553885410612131,264.55875954114043,0.7828386351341557,1.2022068467069391,274.4831647736035,274.4183147849148,274.25813401244693,274.09130362003896,-43702244.5,84866.20577963031,365785138.1454875,267.02092014491956,0.08660567666726227,-0.1303260974055733,-0.2954301437901889
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2010,66.0,263.32928364606494,0.692937433719635,0.00016187455120141505,265.0189418914803,0.7908981228794408,1.0031446429238138,275.10053048472827,275.00824628021144,274.7995532686138,274.6020798632992,-45394550.5,84851.2055412536,357817726.06380206,266.96422452507903,0.09493883384829142,-0.05369889443010006,-0.2354837212704579
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2011,61.0,263.22728705839563,0.7088571190834045,0.00016307948689057693,263.85756905985926,0.7924214443974903,1.2692480521878402,274.15823390965653,274.12543376999355,274.0678066994188,274.0244481976762,-31574450.333333332,84581.31516799262,338876467.1872101,266.43345039001116,0.10427671754922437,-0.10126208181515718,-0.21878907619955637
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2012,70.0,263.8831865825617,0.6523677706718445,0.00014947289745618225,265.33837962346433,0.7777709333606779,1.034343582849216,274.4789704529026,274.3912755638689,274.1757943609867,273.94376979414045,-43224687.333333336,84991.64745013208,362221997.94484454,267.66738799262174,0.09297035006526382,-0.00859460230197403,-0.20970906809138726
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2013,61.0,264.5170483317223,0.6184363961219788,0.0001527571808123959,266.2776245217373,0.7722728776960247,1.1018905827160437,274.7847720759581,274.7091642120955,274.5318836798255,274.35556716331746,-44211345.166666664,84886.14716167668,341495991.33709717,268.0964163209091,0.10279644249179724,-0.18305371550264202,-0.20255066468474972
