MainRegion,Region,Location,Latitude,Longitude,Year,ALT_Max,LST_Day_1km,LST_Night_1km
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,1999,120.0,,
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2000,107.0,13756.074074074075,13042.88679245283
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2001,130.0,13615.367346938776,12917.80412371134
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2002,113.0,13469.048076923076,12939.21875
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2003,85.0,13608.63,13056.661971830987
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2004,90.0,13503.515463917525,13006.613756613757
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2005,93.0,13525.050632911392,13071.324175824177
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2006,80.0,13638.298969072164,12947.11055276382
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2007,84.0,13426.075949367088,12963.559808612441
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,1999,61.0,,
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2000,69.0,13789.517647058823,13072.05
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2001,82.0,13530.101851851852,12976.682795698925
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2002,64.0,13424.4,12965.226315789474
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2003,80.0,13567.89423076923,13082.935323383084
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2004,70.0,13414.518518518518,13054.106145251397
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2005,72.0,13551.522727272728,13079.4375
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2006,71.0,13537.229357798165,12995.300518134714
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2007,69.0,13356.967032967033,12993.867647058823
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2001,65.0,13175.570588235294,12837.17903930131
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2002,52.0,13168.331360946746,12912.310924369747
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2003,59.0,13280.34355828221,12989.171206225681
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2004,52.0,13206.130952380952,12929.689361702127
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2005,61.0,13247.467105263158,12900.506072874494
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2006,62.0,13288.16091954023,12923.82995951417
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2007,68.0,13128.489932885906,12928.252100840336
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2008,55.0,13411.76510067114,12970.963414634147
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2009,60.5,13312.593406593407,12927.139442231075
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2010,66.0,13324.994285714285,12950.232283464567
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2011,61.0,13138.241830065359,12918.122047244095
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2012,70.0,13280.00578034682,12915.763265306123
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2013,61.0,13359.072289156626,12990.477911646587
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2014,71.0,13327.057471264368,12978.665369649805
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2015,59.0,13184.50847457627,12943.560975609756
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2016,65.0,13200.006060606062,12935.51652892562
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2017,59.0,13255.302013422819,12959.09756097561
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2018,57.0,13258.188679245282,12938.1875
Russia,Central Siberia,Chara Belenky,56.76038,118.18903,2008,128.0,13781.79746835443,12969.141414141413
Russia,Central Siberia,Chara Belenky,56.76038,118.18903,2009,91.0,13691.406666666666,12750.744897959185
Russia,Central Siberia,Chara Belenky,56.76038,118.18903,2010,115.0,13665.982352941177,12724.918781725888
Russia,Central Siberia,Chara Belenky,56.76038,118.18903,2011,112.5,13725.931677018634,12950.921568627451
Russia,Central Siberia,Chara Belenky,56.76038,118.18903,2012,108.333333333333,13372.440251572327,12663.266666666666
Russia,Central Siberia,Chara Belenky,56.76038,118.18903,2013,105.0,13527.65625,12765.193717277487
Russia,Central Siberia,Chara Belenky,56.76038,118.18903,2014,101.11430785124,13792.79754601227,12817.319047619048
