MainRegion,Region,Location,Latitude,Longitude,Year,ALT_Max,dewpoint_temperature_2m,lake_ice_depth,skin_reservoir_content,skin_temperature,snow_albedo,snow_depth,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,surface_latent_heat_flux_sum,surface_pressure,surface_solar_radiation_downwards_sum,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2003,120.0,264.40794580985835,0.6739344596862793,0.000175685671972466,266.28266657641933,0.7812179907675713,0.7173189477355718,274.70317833518425,274.6068019623438,274.41054532005836,274.27394421532364,-53669456.166666664,86655.44339635236,364398701.9926338,268.07317991458956,0.07654526592224571,-0.4117954954161623,-0.5234229541316764
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2004,107.0,264.08877038961975,0.6777803301811218,0.00017106235697997472,266.06604262085096,0.7776944312948931,0.7279855423498541,274.32713475250347,274.27906530157907,274.20885956298883,274.1794725533229,-47725109.833333336,86564.71482108154,337714875.15596515,267.7764753642848,0.07554812814113603,-0.3589026596236473,-0.4962535028972481
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2005,130.0,264.53426976449697,0.637699544429779,0.00019010874075727022,266.6408616836251,0.7893997440669374,0.7498070587455098,274.50443975136824,274.390699118387,274.0695071531087,273.7478834638296,-50531884.666666664,86726.94767671693,338512951.8649089,268.32414759262196,0.08867693120992115,-0.5269177127383455,-0.5594825399798894
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2006,113.0,264.06774629727835,0.6456933617591858,0.00017426713235627967,265.91821298919086,0.7680946533743848,0.8051824306338937,274.6550876579099,274.56368377661215,274.36794862444845,274.14330009841166,-53274119.333333336,86869.95306226263,357747807.03971356,268.2127996803775,0.061588806819609467,-0.29166237336211,-0.42563642118368405
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2007,85.0,264.30083847565953,0.6299872994422913,0.00019121871358932928,265.77464954147445,0.7848175878267604,0.5957002393986549,274.9228637689005,274.8347990873181,274.63980541306154,274.49916365628434,-49611928.333333336,86605.80408548335,322916894.33658725,267.71631971634093,0.07656791275867232,-0.4061299499741673,-0.5086562623173368
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2008,90.0,265.3185854951133,0.6421478390693665,0.00020046092399317694,267.4969127618844,0.7956253159298118,0.858548173286395,275.6499184859814,275.55416954842275,275.32617500134893,275.07680240995984,-53026406.333333336,86850.32464266435,346084065.3197225,268.9276257546366,0.09155830987168478,-0.47655798397218224,-0.45228917656013384
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2009,93.0,263.82954591949516,0.6300716996192932,0.00018685789823972098,266.0151311734041,0.7824255498832232,0.849911318543137,275.4195459947099,275.3565559677672,275.24725173160596,275.1800497852102,-60634291.666666664,86817.73762513511,368686903.4788208,268.0473719555437,0.06778135575986817,-0.41016774229688796,-0.5500810480886891
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2010,80.0,264.0111155442439,0.6549013257026672,0.00018594279173328614,266.3981853703546,0.7922255122390983,0.6920729564712974,275.61860313825304,275.5456616779219,275.4274879137227,275.36279435996454,-59010373.5,86804.0371043403,355601166.89713544,267.9085975998517,0.07818603946333506,-0.36569195156909035,-0.5094374764462057
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2011,84.0,263.9428657502236,0.6625702977180481,0.00020224473953061413,265.47159732329317,0.7888523104370281,0.8848599417133531,274.9889925615437,274.9354928262731,274.8322609307396,274.7647145830582,-46350400.333333336,86531.22495368558,335856611.6872101,267.4483178660087,0.08537005096242793,-0.39846687909405815,-0.474812403489378
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2003,61.0,264.40794580985835,0.6739344596862793,0.000175685671972466,266.28266657641933,0.7812179907675713,0.7173189477355718,274.70317833518425,274.6068019623438,274.41054532005836,274.27394421532364,-53669456.166666664,86655.44339635236,364398701.9926338,268.07317991458956,0.07654526592224571,-0.4117954954161623,-0.5234229541316764
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2004,69.0,264.08877038961975,0.6777803301811218,0.00017106235697997472,266.06604262085096,0.7776944312948931,0.7279855423498541,274.32713475250347,274.27906530157907,274.20885956298883,274.1794725533229,-47725109.833333336,86564.71482108154,337714875.15596515,267.7764753642848,0.07554812814113603,-0.3589026596236473,-0.4962535028972481
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2005,82.0,264.53426976449697,0.637699544429779,0.00019010874075727022,266.6408616836251,0.7893997440669374,0.7498070587455098,274.50443975136824,274.390699118387,274.0695071531087,273.7478834638296,-50531884.666666664,86726.94767671693,338512951.8649089,268.32414759262196,0.08867693120992115,-0.5269177127383455,-0.5594825399798894
