MainRegion,Region,Location,Latitude,Longitude,Year,ALT_Max
Russia,Central Siberia,"Tuymada (Yakutsk region)",62.0133,129.65683,2014,223
Russia,Central Siberia,"Tuymada (Yakutsk region)",62.0133,129.65683,2015,220
Russia,Central Siberia,"Tuymada (Yakutsk region)",62.0133,129.65683,2016,220
Russia,Central Siberia,"Tuymada (Yakutsk region)",62.0133,129.65683,2017,222
Russia,Central Siberia,"Tuymada (Yakutsk region)",62.0133,129.65683,2018,224
Russia,Central Siberia,"Tuymada (Yakutsk region)",62.0133,129.65683,2019,225
Russia,Central Siberia,"Tuymada (Yakutsk region)",62.0133,129.65683,2020,225
Russia,Central Siberia,"Tuymada (Yakutsk region)",62.0133,129.65683,2021,227
Russia,Central Siberia,"Tuymada (Yakutsk region)",62.0133,129.65683,2022,227
Russia,Central Siberia,"Tuymada (Yakutsk region)",62.0133,129.65683,2023,225
Alaska,Alaska Interior,"St_Mary",62.04755,-163.23412,2009,100
Alaska,Alaska Interior,"St_Mary",62.04755,-163.23412,2010,100
Alaska,Alaska Interior,"St_Mary",62.04755,-163.23412,2011,86
Alaska,Alaska Interior,"St_Mary",62.04755,-163.23412,2012,0
Alaska,Alaska Interior,"St_Mary",62.04755,-163.23412,2013,50
Alaska,Alaska Interior,"St_Mary",62.04755,-163.23412,2014,100
Alaska,Alaska Interior,"St_Mary",62.04755,-163.23412,2015,100
Alaska,Alaska Interior,"St_Mary",62.04755,-163.23412,2016,100
Russia,Central Siberia,"Neleger (Yakutsk region)",62.31618,129.49952,2008,155
Russia,Central Siberia,"Neleger (Yakutsk region)",62.31618,129.49952,2009,147
Russia,Central Siberia,"Neleger (Yakutsk region)",62.31618,129.49952,2010,145
Russia,Central Siberia,"Neleger (Yakutsk region)",62.31618,129.49952,2011,144
Russia,Central Siberia,"Neleger (Yakutsk region)",62.31618,129.49952,2012,147
Russia,Central Siberia,"Neleger (Yakutsk region)",62.31618,129.49952,2013,152
Russia,Central Siberia,"Neleger (Yakutsk region)",62.31618,129.49952,2014,152
Russia,Central Siberia,"Neleger (Yakutsk region)",62.31618,129.49952,2015,155
Russia,Central Siberia,"Neleger (Yakutsk region)",62.31618,129.49952,2016,148
Russia,Central Siberia,"Neleger (Yakutsk region)",62.31618,129.49952,2017,148
Russia,Central Siberia,"Neleger (Yakutsk region)",62.31618,129.49952,2018,144
Russia,Central Siberia,"Neleger (Yakutsk region)",62.31618,129.49952,2019,146
Russia,Central Siberia,"Neleger (Yakutsk region)",62.31618,129.49952,2020,153
Russia,Central Siberia,"Neleger (Yakutsk region)",62.31618,129.49952,2021,157
Russia,Central Siberia,"Neleger (Yakutsk region)",62.31618,129.49952,2022,158
Russia,Central Siberia,"Neleger (Yakutsk region)",62.31618,129.49952,2023,145
Canada,Canada,"Beaver_Creek",62.3377,-140.83835,2010,61
Canada,Canada,"Beaver_Creek",62.3377,-140.83835,2011,69
Canada,Canada,"Beaver_Creek",62.3377,-140.83835,2012,62
Canada,Canada,"Beaver_Creek",62.3377,-140.83835,2013,85
Canada,Canada,"Beaver_Creek",62.3377,-140.83835,2014,85
Alaska,Alaska Interior,"Tanada_Muskeg",62.51667,-143.3667,2009,112
Alaska,Alaska Interior,"Tanada_Muskeg",62.51667,-143.3667,2010,110
Alaska,Alaska Interior,"Tanada_Muskeg",62.51667,-143.3667,2011,110.373388203018
Alaska,Alaska Interior,"Tanada_Muskeg",62.51667,-143.3667,2012,111.559945130315
Alaska,Alaska Interior,"Tanada_Muskeg",62.51667,-143.3667,2013,113.659259259259
Alaska,Alaska Interior,"Tanada_Muskeg",62.51667,-143.3667,2014,116.770919067215
Alaska,Alaska Interior,"Tanada_Muskeg",62.51667,-143.3667,2015,120.99451303155
Alaska,Alaska Interior,"Tanada_Muskeg",62.51667,-143.3667,2016,126.42962962963
Alaska,Alaska Interior,"Tanada_Muskeg",62.51667,-143.3667,2017,133.17585733882
Alaska,Alaska Interior,"Tanada_Muskeg",62.51667,-143.3667,2018,141.332784636488
Alaska,Alaska Interior,"Tanada_Muskeg",62.51667,-143.3667,2019,151
Alaska,Alaska Interior,"MentastaFen",62.55,-143.3667,2009,85
Alaska,Alaska Interior,"MentastaFen",62.55,-143.3667,2010,87
Alaska,Alaska Interior,"MentastaFen",62.55,-143.3667,2011,84.5
Alaska,Alaska Interior,"MentastaFen",62.55,-143.3667,2012,82
Alaska,Alaska Interior,"MentastaFen",62.55,-143.3667,2013,82.22351797862
Alaska,Alaska Interior,"MentastaFen",62.55,-143.3667,2014,83.0035633300939
Alaska,Alaska Interior,"MentastaFen",62.55,-143.3667,2015,84.5043731778426
Alaska,Alaska Interior,"MentastaFen",62.55,-143.3667,2016,86.8901846452867
Alaska,Alaska Interior,"MentastaFen",62.55,-143.3667,2017,90.3252348558471
Alaska,Alaska Interior,"MentastaFen",62.55,-143.3667,2018,94.9737609329446
Alaska,Alaska Interior,"MentastaFen",62.55,-143.3667,2019,101
Alaska,Alaska Interior,"Emmonak",62.78478,-164.52623,2009,100
Alaska,Alaska Interior,"Emmonak",62.78478,-164.52623,2010,100
Alaska,Alaska Interior,"Emmonak",62.78478,-164.52623,2011,100
Alaska,Alaska Interior,"Emmonak",62.78478,-164.52623,2012,100
Alaska,Alaska Interior,"Emmonak",62.78478,-164.52623,2013,100
Alaska,Alaska Interior,"Emmonak",62.78478,-164.52623,2014,100
Alaska,Alaska Interior,"Emmonak",62.78478,-164.52623,2015,100
Alaska,Alaska Interior,"Emmonak",62.78478,-164.52623,2016,100
Alaska,Alaska Interior,"Kotlik",63.02131,-163.5607,2009,100
Alaska,Alaska Interior,"Kotlik",63.02131,-163.5607,2010,100
Alaska,Alaska Interior,"Kotlik",63.02131,-163.5607,2011,100
Alaska,Alaska Interior,"Kotlik",63.02131,-163.5607,2012,100
