MainRegion,Region,Location,Latitude,Longitude,Year,ALT_Max,LST_Day_1km,LST_Night_1km
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2004,120.0,13503.515463917525,13006.613756613757
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2005,107.0,13525.050632911392,13071.324175824177
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2006,130.0,13638.298969072164,12947.11055276382
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2007,113.0,13426.075949367088,12963.559808612441
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2008,85.0,13722.739130434782,13032.20792079208
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2009,90.0,13690.57142857143,13028.089201877934
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2010,93.0,13631.688073394496,13025.109004739337
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2011,80.0,13500.666666666666,13023.710784313726
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2012,84.0,13685.065934065935,13195.156756756756
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2004,61.0,13414.518518518518,13054.106145251397
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2005,69.0,13551.522727272728,13079.4375
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2006,82.0,13537.229357798165,12995.300518134714
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2007,64.0,13356.967032967033,12993.867647058823
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2008,80.0,13612.719626168224,13016.96568627451
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2009,70.0,13603.636363636364,13051.45145631068
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2010,72.0,13548.052173913044,13068.882051282051
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2011,71.0,13476.1875,13026.817708333334
