MainRegion,Region,Location,Latitude,Longitude,Year,ALT_Max,NDVI,EVI
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2002,120.0,275.7826086956522,-78.04347826086956
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2003,107.0,238.2608695652174,-76.43478260869566
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2004,130.0,28.47826086956522,-114.26086956521739
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2005,113.0,339.7391304347826,17.91304347826087
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2006,85.0,397.6521739130435,23.347826086956523
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2007,90.0,277.7826086956522,26.26086956521739
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2008,93.0,385.8695652173913,-16.52173913043478
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2009,80.0,450.95652173913044,16.652173913043477
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka),55.7507,160.2896,2010,84.0,366.7391304347826,-5.565217391304348
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2002,61.0,245.08695652173913,-92.95652173913044
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2003,69.0,339.5217391304348,-47.08695652173913
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2004,82.0,137.08695652173913,-86.78260869565217
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2005,64.0,434.7826086956522,15.347826086956522
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2006,80.0,392.95652173913044,16.608695652173914
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2007,70.0,280.8695652173913,14.217391304347826
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2008,72.0,444.82608695652175,-16.434782608695652
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2009,71.0,439.2608695652174,-6.913043478260869
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 1,55.76524,160.3206,2010,69.0,431.5652173913044,17.043478260869566
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2004,65.0,190.91304347826087,-1.7391304347826086
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2005,52.0,523.4347826086956,163.7391304347826
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2006,59.0,593.0,203.3913043478261
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2007,52.0,666.4782608695652,198.52173913043478
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2008,61.0,729.1304347826087,207.08695652173913
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2009,62.0,593.1739130434783,214.04347826086956
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2010,68.0,661.9565217391304,223.34782608695653
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2011,55.0,534.1739130434783,207.6086956521739
